knot_id,knot,polynomial_order,position,velocity,acceleration,jerk,ping,smooth_depth
start,325,6,58,-633,0,0,nan,0
knot1,335,6,nan,nan,nan,0,nan,5
knot2,342,6,nan,nan,0,nan,nan,5
end,360,0,0,0,nan,nan,nan,0
