knot_id,knot,polynomial_order,position,velocity,acceleration,jerk,ping,smooth_depth
touch,91,6,nan,nan,nan,nan,nan,0
knot3,111.5,6,nan,nan,nan,nan,nan,5
knot2,121,6,nan,nan,nan,nan,nan,5
closed,137,6,nan,nan,nan,nan,nan,0
