knot_id,knot,polynomial_order,position,velocity,acceleration,jerk,ping,smooth_depth
start,0,6,nan,nan,nan,nan,nan,6
knot1,30,6,nan,nan,nan,0,nan,4
widest,42.5,6,-131.7,0,nan,nan,nan,6
knot4,94.5,6,nan,nan,0,nan,nan,4
knot2,120,6,nan,nan,nan,0,nan,4
closed,137.5,6,0,0,0,nan,nan,4
release,330,6,0,0,0,nan,nan,4
knot3,345,6,nan,nan,nan,0,nan,4
end,360,6,nan,nan,nan,nan,nan,6
