machine_degree,york_acc_mps2,jaw_acc_mps2
318,-0.0123,-0.1524
319,0.4834,0.5242
320,0.2648,0.0518
321,0.2026,-0.0118
322,0.2256,-0.0069
323,0.2801,0.0118
324,0.258,0.0186
325,-0.0352,-0.1474
326,-0.6378,-0.6854
327,-1.379,-1.3619
328,-2.1464,-2.1254
329,-2.9121,-2.9684
330,-3.5802,-3.9238
331,-4.1458,-5.1659
332,-4.6629,-7.0958
333,-5.1544,-9.3289
334,-5.4929,-11.7196
335,-5.5099,-14.2888
336,-5.2687,-16.9692
337,-4.9064,-19.3929
338,-4.4304,-21.6074
339,-3.7377,-23.4401
340,-2.7487,-24.476
341,-1.569,-24.9471
342,-0.314,-24.9358
343,1.0694,-24.4483
344,2.7154,-23.442
345,4.6199,-21.8286
346,6.5419,-19.7425
347,8.4177,-17.7098
348,10.2549,-15.3211
349,12.0623,-12.4039
350,13.8489,-9.5521
351,15.6675,-6.7316
352,17.5271,-4.0122
353,19.4062,-1.3603
354,21.2794,1.7167
355,23.1378,4.7967
356,24.9417,7.8288
357,26.6759,11.0036
358,28.0565,14.0484
359,29.1265,16.9835
