spec_id,r_BO4,r_BC,r_CO2,r_DC,r_AD,o_O4O2,o_CO2
compact_flex,155,100,60,164.44,59.25,3 / 2 * pi,pi
flex,155,100,60,182.31,59.25,3 / 2 * pi,pi
