knot_id,knot,polynomial_order,position,velocity,acceleration,jerk,ping,smooth_depth
start,262,6,0,-633,0,0,nan,0
knot1,277,6,nan,nan,nan,0,nan,4
knot2,282,6,nan,nan,nan,nan,0,4
knot3,292,6,nan,nan,0,nan,0,4
knot4,300,6,nan,nan,nan,nan,0,4
knot5,310,6,nan,nan,nan,0,nan,4
end,319,0,nan,nan,nan,nan,nan,0
